"PolNum";"CalYear";"Gender";"Type";"Category";"Occupation";"Age";"Group1";"Bonus";"Poldur";"Value";"Adind";"SubGroup2";"Group2";"Density"
"1";200325695;2011;"Male";"C";"Medium";"Housewife";47;15;90;6;1120;1;"R22";"R";270.4632326
"2";200325696;2011;"Male";"D";"Large";"Housewife";46;9;-30;1;28170;1;"L16";"L";66.46782671
"3";200325697;2011;"Male";"F";"Large";"Employed";52;11;70;7;23505;1;"Q36";"Q";206.2302755
"4";200325698;2011;"Male";"B";"Large";"Retired";61;15;-50;12;7610;0;"Q4";"Q";138.5066713
"5";200325699;2011;"Female";"B";"Large";"Employed";34;5;-50;3;10725;1;"L39";"L";68.9093508
"6";200325700;2011;"Male";"B";"Large";"Housewife";44;14;60;6;3980;1;"L25";"L";61.11231366
"7";200325701;2011;"Male";"D";"Large";"Unemployed";40;10;-20;7;22380;0;"Q42";"Q";148.4945135
"8";200325702;2011;"Male";"A";"Medium";"Employed";22;16;0;0;21755;0;"L109";"L";57.29188508
"9";200325703;2011;"Male";"A";"Medium";"Employed";22;12;-10;0;18430;0;"N1";"N";43.18966881
"10";200325704;2011;"Male";"A";"Medium";"Employed";42;15;-50;3;21855;1;"T25";"T";28.51184808
"11";200325705;2011;"Female";"A";"Medium";"Employed";18;8;0;1;9085;0;"T23";"T";23.03273294
"12";200325706;2011;"Male";"B";"Large";"Housewife";33;8;-30;1;22970;0;"O30";"O";25.22514012
"13";200325707;2011;"Female";"B";"Small";"Employed";38;16;-50;13;11930;1;"Q12";"Q";167.9366556
"14";200325710;2011;"Male";"D";"Medium";"Housewife";72;9;-40;11;14805;0;"Q60";"Q";112.4047945
"15";200325711;2011;"Male";"A";"Large";"Employed";36;11;-40;12;22075;0;"L136";"L";38.06772
"16";200325712;2011;"Male";"C";"Large";"Self-employed";49;16;-30;12;27790;0;"L82";"L";57.0415314
"17";200325713;2011;"Male";"B";"Medium";"Housewife";27;18;-30;11;47060;0;"Q9";"Q";139.637282
"18";200325716;2011;"Female";"D";"Small";"Self-employed";38;8;-30;3;8050;1;"Q33";"Q";129.6690079
"19";200325718;2011;"Male";"C";"Large";"Retired";63;8;-50;4;12505;0;"L135";"L";40.0945365
"20";200325719;2011;"Male";"C";"Medium";"Employed";42;9;-30;1;17055;1;"O17";"O";24.11879116
"21";200325721;2011;"Male";"A";"Large";"Self-employed";43;8;30;10;5390;0;"Q63";"Q";125.9456252
"22";200325722;2011;"Male";"B";"Large";"Retired";68;10;-50;1;7935;1;"Q19";"Q";157.245582
"23";200325723;2011;"Female";"F";"Small";"Housewife";43;7;-50;1;27180;1;"R37";"R";276.9454965
"24";200325724;2011;"Male";"C";"Large";"Employed";50;11;60;1;26050;0;"Q7";"Q";83.76263662
"25";200325726;2011;"Male";"B";"Medium";"Unemployed";31;10;-20;2;36795;1;"M12";"M";216.4916013
"26";200325727;2011;"Male";"B";"Medium";"Unemployed";20;15;-10;14;20770;0;"O9";"O";30.90727239
"27";200325728;2011;"Female";"B";"Medium";"Housewife";51;4;-10;4;17415;1;"R14";"R";275.0923407
"28";200325730;2011;"Male";"B";"Small";"Housewife";42;10;-20;7;14070;1;"N22";"N";100.833778
"29";200325731;2011;"Male";"E";"Large";"Housewife";30;8;-30;5;43140;1;"Q62";"Q";91.45292269
"30";200325732;2011;"Male";"F";"Medium";"Employed";56;5;-50;1;16405;1;"Q56";"Q";114.1467007
"31";200325733;2011;"Male";"C";"Medium";"Unemployed";39;9;30;5;9545;1;"L79";"L";56.11415278
"32";200325734;2011;"Male";"B";"Small";"Employed";21;14;-20;4;19405;0;"L43";"L";73.26206886
"33";200325735;2011;"Male";"A";"Small";"Employed";30;13;10;4;5220;0;"N11";"N";88.89623143
"34";200325739;2011;"Female";"D";"Small";"Employed";51;16;-30;12;48725;1;"Q51";"Q";141.4896565
"35";200325741;2011;"Male";"A";"Large";"Retired";46;4;-40;2;24005;1;"L135";"L";40.0945365
"36";200325742;2011;"Female";"B";"Large";"Employed";38;8;60;13;12740;1;"L9";"L";51.09148195
"37";200325743;2011;"Male";"B";"Medium";"Employed";27;13;-20;5;24075;1;"L102";"L";58.30755679
"38";200325744;2011;"Female";"E";"Medium";"Employed";54;12;-50;8;35895;1;"N6";"N";93.38235115
"39";200325745;2011;"Male";"E";"Large";"Self-employed";19;15;-10;8;7460;1;"L120";"L";59.22386837
"40";200325746;2011;"Male";"A";"Medium";"Unemployed";60;6;10;4;4020;1;"Q62";"Q";91.45292269
"41";200325748;2011;"Female";"B";"Small";"Self-employed";37;17;-40;0;25975;1;"L96";"L";45.66982293
"42";200325749;2011;"Male";"B";"Large";"Unemployed";34;15;-50;15;6405;1;"Q26";"Q";237.675525
"43";200325752;2011;"Female";"C";"Large";"Self-employed";49;20;-50;7;20170;0;"L74";"L";62.73514095
"44";200325754;2011;"Male";"C";"Large";"Housewife";45;12;-50;3;8340;1;"R28";"R";256.6405915
"45";200325756;2011;"Male";"A";"Small";"Employed";34;8;10;9;37025;0;"L109";"L";57.29188508
"46";200325757;2011;"Male";"D";"Medium";"Housewife";30;10;-10;14;23965;0;"L81";"L";73.65271862
"47";200325758;2011;"Female";"B";"Small";"Self-employed";36;7;10;0;23670;1;"R20";"R";290.1327193
"48";200325759;2011;"Male";"A";"Medium";"Employed";60;11;-20;10;24285;1;"L113";"L";55.96459579
"49";200325762;2011;"Male";"D";"Large";"Housewife";38;8;130;11;8725;1;"R21";"R";275.2822626
"50";200325763;2011;"Male";"F";"Large";"Housewife";33;15;100;0;11690;0;"Q47";"Q";208.6667182
"51";200325765;2011;"Female";"A";"Medium";"Housewife";63;13;-50;9;23885;1;"Q2";"Q";123.0199289
"52";200325766;2011;"Female";"B";"Large";"Self-employed";18;9;0;8;16385;0;"R23";"R";282.3344767
"53";200325768;2011;"Female";"B";"Medium";"Employed";23;3;-10;9;25315;0;"T28";"T";30.79319816
